               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.05928,            0.033723,           0.0067504,             0.48667,             0.59541,             0.56734,             0.22327,            0.053894,            0.017991,           0.0046824,           0.0090694,           0.0090694,           0.0090694
                  49,            0.060185,            0.026703,           0.0071388,             0.52284,             0.65429,             0.59627,             0.24197,            0.052323,            0.017942,           0.0041594,           0.0090496,           0.0090496,           0.0090496
                  50,            0.063184,            0.029826,           0.0084369,             0.61356,             0.67861,              0.6546,             0.27881,            0.050479,             0.01761,           0.0041591,           0.0090298,           0.0090298,           0.0090298
                  51,            0.060237,            0.030772,           0.0071255,             0.64432,             0.69402,             0.68368,             0.28937,             0.04959,            0.017186,            0.003975,             0.00901,             0.00901,             0.00901
                  52,            0.063529,              0.0336,            0.011235,             0.67469,             0.66563,             0.69873,             0.28429,            0.048658,            0.017026,           0.0039084,           0.0089902,           0.0089902,           0.0089902
                  53,            0.055745,            0.029609,           0.0080666,             0.63595,             0.60936,             0.61385,             0.22121,            0.051737,            0.017451,           0.0049892,           0.0089704,           0.0089704,           0.0089704
                  54,            0.059005,            0.030315,            0.011271,             0.60464,             0.58044,             0.60638,             0.23098,            0.052343,            0.017129,           0.0048321,           0.0089506,           0.0089506,           0.0089506
                  55,            0.055973,            0.028094,           0.0055697,             0.50372,             0.68831,             0.54454,             0.21084,            0.051132,            0.017337,           0.0037641,           0.0089308,           0.0089308,           0.0089308
                  56,            0.061859,            0.028341,           0.0070542,             0.58618,             0.68541,             0.64337,             0.26543,            0.050168,            0.016929,           0.0037305,            0.008911,            0.008911,            0.008911
                  57,            0.061043,            0.025713,             0.01212,             0.65673,             0.68089,             0.69148,             0.29379,            0.046998,            0.017152,           0.0037132,           0.0088912,           0.0088912,           0.0088912
                  58,             0.05368,             0.02755,           0.0067703,              0.5489,             0.65646,             0.60696,              0.2623,            0.048325,            0.017053,           0.0035938,           0.0088714,           0.0088714,           0.0088714
                  59,            0.054005,            0.027004,           0.0075405,             0.58542,             0.66843,             0.62305,             0.26543,            0.050131,            0.016993,           0.0035178,           0.0088516,           0.0088516,           0.0088516
                  60,            0.059014,            0.027364,           0.0054606,             0.57509,             0.68871,              0.6493,              0.2569,            0.051147,            0.016899,           0.0035265,           0.0088318,           0.0088318,           0.0088318
                  61,            0.059638,            0.035013,            0.006125,             0.68331,              0.6955,              0.7588,             0.33658,            0.048563,            0.016965,           0.0035347,            0.008812,            0.008812,            0.008812
                  62,            0.061018,             0.02882,           0.0061929,             0.66217,             0.64476,             0.70093,              0.2636,            0.051371,             0.01687,           0.0042931,           0.0087922,           0.0087922,           0.0087922
                  63,            0.057897,            0.025891,           0.0053402,             0.63398,             0.66772,             0.69661,             0.27903,             0.05147,            0.016388,           0.0036416,           0.0087724,           0.0087724,           0.0087724
                  64,              0.0582,            0.026823,           0.0059811,             0.63462,             0.70111,             0.69799,             0.30508,            0.050779,             0.01615,           0.0035876,           0.0087526,           0.0087526,           0.0087526
                  65,            0.056267,            0.022936,           0.0052565,             0.73909,             0.72309,             0.78243,             0.35557,            0.045285,            0.016225,            0.003515,           0.0087328,           0.0087328,           0.0087328
                  66,            0.052957,             0.03508,           0.0096243,             0.63971,             0.70584,             0.70025,             0.29965,            0.048752,            0.016153,           0.0034019,            0.008713,            0.008713,            0.008713
                  67,            0.055096,            0.030337,            0.005968,             0.73559,             0.74585,             0.77829,             0.36189,            0.047364,             0.01587,           0.0034023,           0.0086932,           0.0086932,           0.0086932
                  68,            0.053692,            0.026107,           0.0085407,             0.65881,             0.72447,             0.72144,             0.32681,            0.046298,            0.015851,           0.0033643,           0.0086734,           0.0086734,           0.0086734
                  69,            0.056655,            0.029079,           0.0051783,             0.63455,             0.70381,             0.69272,             0.30124,            0.048577,            0.015623,           0.0034199,           0.0086536,           0.0086536,           0.0086536
                  70,            0.056218,            0.026715,           0.0041598,             0.66072,             0.69604,             0.71845,             0.34187,             0.04748,            0.015542,           0.0034721,           0.0086338,           0.0086338,           0.0086338
                  71,            0.050967,            0.025308,           0.0049945,             0.58981,             0.70617,             0.67289,             0.30635,            0.046625,             0.01567,           0.0034097,            0.008614,            0.008614,            0.008614
                  72,            0.055086,            0.026052,           0.0060521,             0.53048,             0.69391,             0.61795,             0.26056,            0.051229,            0.015659,           0.0034858,           0.0085942,           0.0085942,           0.0085942
                  73,            0.054839,            0.027344,           0.0055224,             0.67831,             0.72654,             0.74862,             0.32774,            0.046217,            0.015713,           0.0036138,           0.0085744,           0.0085744,           0.0085744
                  74,            0.053841,            0.029046,           0.0077884,             0.73042,             0.73992,             0.77593,               0.362,            0.045578,            0.015553,           0.0035983,           0.0085546,           0.0085546,           0.0085546
                  75,            0.053351,            0.026954,           0.0086944,             0.69776,             0.71638,             0.74003,             0.30512,            0.048964,            0.015595,           0.0034297,           0.0085348,           0.0085348,           0.0085348
                  76,            0.053846,            0.028534,           0.0041564,             0.76816,             0.75111,             0.79088,             0.33074,            0.047158,            0.015505,           0.0033158,            0.008515,            0.008515,            0.008515
                  77,            0.051844,            0.028121,           0.0050954,             0.70894,             0.75555,             0.78772,             0.35184,            0.045254,            0.016332,           0.0031859,           0.0084952,           0.0084952,           0.0084952
                  78,            0.050584,            0.025343,           0.0041945,             0.70245,             0.74947,             0.75971,             0.32714,            0.046391,            0.016179,            0.003292,           0.0084754,           0.0084754,           0.0084754
                  79,            0.053989,            0.027854,           0.0051054,             0.71209,             0.73668,             0.75162,              0.3434,            0.045528,            0.015563,           0.0030407,           0.0084556,           0.0084556,           0.0084556
                  80,            0.051672,            0.029414,           0.0046916,              0.7089,             0.69026,             0.69831,             0.30529,            0.048767,            0.015217,            0.003085,           0.0084358,           0.0084358,           0.0084358
                  81,            0.059917,            0.031508,           0.0062383,              0.7607,             0.70504,             0.80347,             0.38483,             0.04489,            0.015788,           0.0031707,            0.008416,            0.008416,            0.008416
                  82,            0.050983,            0.025425,           0.0061852,             0.73429,              0.7027,             0.77384,             0.36282,            0.045632,            0.016649,           0.0033052,           0.0083962,           0.0083962,           0.0083962
                  83,            0.049956,            0.022613,           0.0053034,             0.80955,             0.68193,             0.79967,             0.38208,            0.046287,            0.016198,            0.003197,           0.0083764,           0.0083764,           0.0083764
                  84,            0.053842,             0.02497,           0.0043217,             0.74399,             0.77527,             0.79497,             0.34668,            0.044051,            0.015243,           0.0030499,           0.0083566,           0.0083566,           0.0083566
                  85,            0.047444,            0.023712,           0.0045243,             0.79286,             0.77954,             0.83448,             0.42544,            0.041517,            0.015472,           0.0030331,           0.0083368,           0.0083368,           0.0083368
                  86,            0.052153,            0.030535,           0.0038463,             0.79626,             0.79218,             0.86098,             0.44077,            0.040557,            0.015419,           0.0030142,            0.008317,            0.008317,            0.008317
                  87,            0.051423,            0.028447,           0.0037247,             0.73507,              0.8079,               0.844,             0.36197,             0.04375,            0.015106,           0.0030441,           0.0082972,           0.0082972,           0.0082972
                  88,            0.050137,            0.029883,           0.0043224,             0.77641,             0.81778,             0.86158,             0.44529,            0.039649,             0.01492,           0.0031662,           0.0082774,           0.0082774,           0.0082774
                  89,            0.049913,            0.028035,           0.0064103,             0.77586,             0.76884,             0.84359,             0.37136,            0.044246,            0.015112,           0.0032014,           0.0082576,           0.0082576,           0.0082576
                  90,            0.049299,            0.025753,           0.0047927,             0.81718,             0.77585,             0.87681,             0.38397,            0.042587,            0.014891,           0.0030942,           0.0082378,           0.0082378,           0.0082378
                  91,            0.047624,            0.022726,           0.0039945,             0.75324,             0.76598,             0.83866,             0.41417,            0.043007,            0.014838,           0.0029675,            0.008218,            0.008218,            0.008218
                  92,            0.050238,            0.023184,            0.009023,              0.7954,              0.8098,             0.86848,             0.43339,             0.04107,            0.014926,           0.0028455,           0.0081982,           0.0081982,           0.0081982
                  93,            0.048707,            0.024393,           0.0057138,             0.78566,             0.80805,             0.87102,             0.45943,            0.040909,            0.015154,           0.0027949,           0.0081784,           0.0081784,           0.0081784
                  94,            0.053101,            0.023553,           0.0041441,             0.76985,             0.77283,             0.85606,              0.4232,            0.042239,            0.014925,           0.0027523,           0.0081586,           0.0081586,           0.0081586
                  95,            0.046074,            0.026608,           0.0042297,             0.85191,             0.80681,             0.88712,                0.46,            0.039285,            0.014924,           0.0027859,           0.0081388,           0.0081388,           0.0081388
                  96,            0.050262,            0.023005,           0.0042077,             0.84849,             0.73798,             0.87015,             0.43196,             0.04034,            0.014716,           0.0027376,            0.008119,            0.008119,            0.008119
                  97,            0.051302,            0.029091,           0.0049214,             0.84085,             0.75773,             0.86875,              0.4415,            0.041306,            0.015068,           0.0027108,           0.0080992,           0.0080992,           0.0080992
                  98,            0.047798,             0.02021,           0.0049481,              0.8521,             0.77438,             0.87983,             0.42696,            0.040389,            0.015065,           0.0028149,           0.0080794,           0.0080794,           0.0080794
                  99,            0.044538,            0.019876,           0.0046142,             0.77016,             0.82101,             0.86459,             0.43029,            0.040416,            0.014522,           0.0029411,           0.0080596,           0.0080596,           0.0080596
                 100,            0.049749,            0.024078,           0.0040462,              0.7695,             0.82419,             0.84766,             0.41787,             0.04161,            0.014547,           0.0028467,           0.0080398,           0.0080398,           0.0080398
                 101,            0.047184,             0.02421,           0.0037304,             0.80764,              0.8437,             0.88803,              0.4464,            0.039537,            0.014644,           0.0028082,             0.00802,             0.00802,             0.00802
                 102,            0.053785,            0.025401,           0.0034367,             0.82295,             0.80151,              0.8729,             0.43906,            0.039351,            0.014516,           0.0028259,           0.0080002,           0.0080002,           0.0080002
                 103,            0.045306,            0.026033,           0.0046155,              0.7628,              0.8521,             0.85987,             0.43088,             0.04078,            0.014686,           0.0027679,           0.0079804,           0.0079804,           0.0079804
                 104,             0.04777,            0.032296,           0.0047288,             0.86445,             0.84498,             0.90948,             0.46458,            0.039279,            0.014571,           0.0027569,           0.0079606,           0.0079606,           0.0079606
                 105,             0.04952,            0.023346,           0.0042607,             0.84459,             0.86325,             0.90254,             0.45968,             0.03918,             0.01461,           0.0027746,           0.0079408,           0.0079408,           0.0079408
                 106,            0.048135,            0.021934,           0.0045972,              0.8403,             0.80884,             0.88558,             0.49743,            0.036504,            0.014304,           0.0029618,            0.007921,            0.007921,            0.007921
                 107,            0.045508,            0.026743,           0.0042353,             0.78492,             0.81473,             0.84557,             0.42178,            0.040108,            0.014513,           0.0031536,           0.0079012,           0.0079012,           0.0079012
                 108,            0.042997,            0.020974,           0.0034137,             0.75567,             0.82155,             0.86198,             0.43615,            0.038902,            0.014517,           0.0030194,           0.0078814,           0.0078814,           0.0078814
                 109,            0.041928,            0.022346,           0.0047029,             0.68893,             0.85478,             0.84298,             0.45376,             0.03774,            0.014658,           0.0028394,           0.0078616,           0.0078616,           0.0078616
                 110,            0.043306,            0.025545,           0.0051873,              0.7298,              0.8618,             0.85632,             0.44797,            0.038334,            0.014481,            0.002761,           0.0078418,           0.0078418,           0.0078418
                 111,            0.050814,            0.030543,           0.0089728,             0.76589,             0.87659,             0.88408,             0.50568,            0.036159,            0.014152,           0.0027794,            0.007822,            0.007822,            0.007822
                 112,            0.045668,            0.018713,           0.0038715,             0.83306,             0.84803,             0.89928,             0.46525,            0.036847,            0.013997,           0.0027951,           0.0078022,           0.0078022,           0.0078022
                 113,            0.046309,            0.023776,           0.0093295,             0.87344,             0.81682,             0.90053,             0.51776,            0.035776,            0.014233,           0.0027953,           0.0077824,           0.0077824,           0.0077824
                 114,            0.047087,            0.023938,           0.0055035,             0.83269,             0.82318,             0.88658,             0.45614,            0.039072,            0.014392,           0.0026902,           0.0077626,           0.0077626,           0.0077626
                 115,            0.047261,             0.02162,           0.0074885,             0.80703,             0.85447,             0.87661,             0.42941,            0.039812,            0.014259,           0.0026519,           0.0077428,           0.0077428,           0.0077428
